,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
13864,34229,12,115,12,FL,115,Sarasota County,H1
13865,34231,12,115,12,FL,115,Sarasota County,H1
13866,34232,12,115,12,FL,115,Sarasota County,H1
13867,34233,12,115,12,FL,115,Sarasota County,H1
13868,34234,12,115,12,FL,115,Sarasota County,H1
13869,34235,12,115,12,FL,115,Sarasota County,H1
13870,34236,12,115,12,FL,115,Sarasota County,H1
13871,34237,12,115,12,FL,115,Sarasota County,H1
13872,34238,12,115,12,FL,115,Sarasota County,H1
13873,34239,12,115,12,FL,115,Sarasota County,H1
13874,34240,12,115,12,FL,115,Sarasota County,H1
13875,34241,12,115,12,FL,115,Sarasota County,H1
13876,34242,12,115,12,FL,115,Sarasota County,H1
13877,34243,12,081,12,FL,081,Manatee County,H1
13878,34243,12,115,12,FL,115,Sarasota County,H1
13879,34251,12,081,12,FL,081,Manatee County,H1
13880,34251,12,115,12,FL,115,Sarasota County,H1
13881,34266,12,027,12,FL,027,DeSoto County,H1
13882,34266,12,115,12,FL,115,Sarasota County,H1
13883,34268,12,027,12,FL,027,DeSoto County,H1
13884,34269,12,027,12,FL,027,DeSoto County,H1
13885,34275,12,115,12,FL,115,Sarasota County,H1
13886,34285,12,115,12,FL,115,Sarasota County,H1
13887,34286,12,115,12,FL,115,Sarasota County,H1
13888,34287,12,115,12,FL,115,Sarasota County,H1
13889,34288,12,115,12,FL,115,Sarasota County,H1
13890,34289,12,115,12,FL,115,Sarasota County,H1
13891,34291,12,115,12,FL,115,Sarasota County,H1
13892,34292,12,115,12,FL,115,Sarasota County,H1
13893,34293,12,115,12,FL,115,Sarasota County,H1
13894,34420,12,083,12,FL,083,Marion County,H1
13895,34428,12,017,12,FL,017,Citrus County,H1
13896,34429,12,017,12,FL,017,Citrus County,H1
13897,34431,12,075,12,FL,075,Levy County,H1
13898,34431,12,083,12,FL,083,Marion County,H1
13899,34432,12,083,12,FL,083,Marion County,H1
13900,34433,12,017,12,FL,017,Citrus County,H1
13901,34434,12,017,12,FL,017,Citrus County,H1
13902,34436,12,017,12,FL,017,Citrus County,H1
13903,34442,12,017,12,FL,017,Citrus County,H1
13904,34445,12,017,12,FL,017,Citrus County,H1
13905,34446,12,017,12,FL,017,Citrus County,H1
13906,34448,12,017,12,FL,017,Citrus County,H1
13907,34449,12,017,12,FL,017,Citrus County,H1
13908,34449,12,075,12,FL,075,Levy County,H1
13909,34450,12,017,12,FL,017,Citrus County,H1
13910,34452,12,017,12,FL,017,Citrus County,H1
13911,34453,12,017,12,FL,017,Citrus County,H1
13912,34461,12,017,12,FL,017,Citrus County,H1
13913,34465,12,017,12,FL,017,Citrus County,H1
13914,34470,12,083,12,FL,083,Marion County,H1
13915,34471,12,083,12,FL,083,Marion County,H1
13916,34472,12,083,12,FL,083,Marion County,H1
13917,34473,12,083,12,FL,083,Marion County,H1
13918,34474,12,083,12,FL,083,Marion County,H1
13919,34475,12,083,12,FL,083,Marion County,H1
13920,34476,12,083,12,FL,083,Marion County,H1
13921,34479,12,083,12,FL,083,Marion County,H1
13922,34480,12,083,12,FL,083,Marion County,H1
13923,34481,12,083,12,FL,083,Marion County,H1
13924,34482,12,083,12,FL,083,Marion County,H1
13925,34484,12,119,12,FL,119,Sumter County,H1
